CODIGO_ENTIDAD,NOMBRE,
1,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,
2,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,
4,UNIVERSIDAD NACIONAL DE TRUJILLO,
5,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,
6,UNIVERSIDAD NACIONAL DE INGENIERÍA,
7,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,
8,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,
11,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,
12,UNIVERSIDAD NACIONAL DEL ALTIPLANO,
14,UNIVERSIDAD PERUANA CAYETANO HEREDIA,
15,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,
16,UNIVERSIDAD NACIONAL DE CAJAMARCA,
17,UNIVERSIDAD DEL PACÍFICO,
18,UNIVERSIDAD DE LIMA,
19,UNIVERSIDAD DE SAN MARTÍN DE PORRES,
20,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,
29,UNIVERSIDAD DE PIURA,
30,UNIVERSIDAD RICARDO PALMA,
32,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,
33,UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,
35,UNIVERSIDAD NACIONAL DE UCAYALI,
38,UNIVERSIDAD PERUANA UNIÓN,
39,UNIVERSIDAD ANDINA DEL CUSCO,
43,UNIVERSIDAD PRIVADA DE TACNA,
46,UNIVERSIDAD PRIVADA ANTENOR ORREGO,
49,UNIVERSIDAD MARCELINO CHAMPAGNAT,
54,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,
55,UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,
57,UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,
62,UNIVERSIDAD CATÓLICA SAN PABLO,
68,UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,
69,UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,
71,UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,
76,UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,
79,UNIVERSIDAD ESAN,
80,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,
82,UNIVERSIDAD PARA EL DESARROLLO ANDINO,
84,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,
89,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,
95,UNIVERSIDAD NACIONAL DE MOQUEGUA,
96,UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,
97,ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,
98,UNIVERSIDAD NACIONAL DE JULIACA,
100,UNIVERSIDAD JAIME BAUSATE Y MEZA,
101,UNIVERSIDAD NACIONAL DE JAÉN,
104,UNIVERSIDAD LE CORDON BLEU S.A.C.,
108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,
120,UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,
121,UNIVERSIDAD NACIONAL DE BARRANCA,
122,UNIVERSIDAD NACIONAL DE CAÑETE,
123,UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA,
124,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,
126,UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,
127,UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA,
128,UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,
132,UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,
133,UNIVERSIDAD LA SALLE,
136,UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,
67,UNIVERSIDAD CONTINENTAL S.A.C.,
88,UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,
129,UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO,
130,UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS,
